Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Cluster
Cows' milk,1 qt.,976,660.0,32,40,36.0,0.0,48.0,Dairy products,-1
Milk skim,1 qt.,984,360.0,36,0,0.0,0.0,52.0,Dairy products,-1
Buttermilk,1 cup,246,127.0,9,5,4.0,0.0,13.0,Dairy products,-1
Evaporated undiluted,1 cup,252,345.0,16,20,18.0,0.0,24.0,Dairy products,4
Fortified milk,6 cups,1419,1373.0,89,42,23.0,1.4,119.0,Dairy products,-1
Powdered milk,1 cup,103,515.0,27,28,24.0,0.0,39.0,Dairy products,-1
skim instant,1 1/3 cups,85,290.0,30,0,0.0,0.0,42.0,Dairy products,-1
skim non-instant,2/3 cup,85,290.0,30,0,0.0,1.0,42.0,Dairy products,-1
Goats' milk,1 cup,244,165.0,8,10,8.0,0.0,11.0,Dairy products,4
(1/2 cup ice cream),2 cups,540,690.0,24,24,22.0,0.0,70.0,Dairy products,-1
Cocoa,1 cup,252,235.0,8,11,10.0,0.0,26.0,Dairy products,-1
skim. milk,1 cup,250,128.0,18,4,3.0,1.0,13.0,Dairy products,-1
(cornstarch),1 cup,248,275.0,9,10,9.0,0.0,40.0,Dairy products,0
Custard,1 cup,248,285.0,13,14,11.0,0.0,28.0,Dairy products,1
Ice cream,1 cup,188,300.0,6,18,16.0,0.0,29.0,Dairy products,1
Ice milk,1 cup,190,275.0,9,10,9.0,0.0,32.0,Dairy products,1
Cream or half-and-half,1/2 cup,120,170.0,4,15,13.0,0.0,5.0,Dairy products,-1
or whipping,1/2 cup,119,430.0,2,44,27.0,1.0,3.0,Dairy products,-1
Cheese,1 cup,225,240.0,30,11,10.0,0.0,6.0,Dairy products,1
uncreamed,1 cup,225,195.0,38,0,0.0,0.0,6.0,Dairy products,0
Cheddar,1-in. cube,17,70.0,4,6,5.0,0.0,0.0,Dairy products,0
Cheddar grated cup,1/2 cup,56,226.0,14,19,17.0,0.0,1.0,Dairy products,0
Cream cheese,1 oz.,28,105.0,2,11,10.0,0.0,1.0,Dairy products,0
Processed cheese,1 oz.,28,105.0,7,9,8.0,0.0,0.0,Dairy products,0
Roquefort type,1 oz.,28,105.0,6,9,8.0,0.0,0.0,Dairy products,0
Swiss,1 oz.,28,105.0,7,8,7.0,0.0,0.0,Dairy products,-1
Eggs raw,2,100,150.0,12,12,10.0,0.0,0.0,Dairy products,0
Eggs Scrambled or fried,2,128,220.0,13,16,14.0,0.0,1.0,Dairy products,1
Yolks,2,34,120.0,6,10,8.0,0.0,0.0,Fats Oils Shortenings,-1
Butter,1T.,14,100.0,0,11,10.0,0.0,0.0,Fats Oils Shortenings,-1
Butter,1/2 cup,112,113.0,114,115,116.0,117.0,118.0,Fats Oils Shortenings,2
Butter,1/4 lb.,112,113.0,114,115,116.0,117.0,118.0,Fats Oils Shortenings,-1
Hydrogenated cooking fat,1/2 cup,100,665.0,0,100,88.0,0.0,0.0,Fats Oils Shortenings,2
Lard,1/2 cup,110,992.0,0,110,92.0,0.0,0.0,Fats Oils Shortenings,-1
Margarine,1/2 cup,112,806.0,0,91,76.0,0.0,0.0,Fats Oils Shortenings,-1
Margarine 2 pat or,1 T.,14,100.0,0,11,9.0,0.0,0.0,Fats Oils Shortenings,-1
Mayonnaise,1 T.,15,110.0,0,12,5.0,0.0,0.0,Fats Oils Shortenings,2
Corn oil,1 T.,14,125.0,0,14,5.0,0.0,0.0,Fats Oils Shortenings,-1
Olive oil,1T.,14,125.0,0,14,3.0,0.0,0.0,Fats Oils Shortenings,-1
Safflower seed oil,1 T.,14,125.0,0,14,3.0,0.0,0.0,Fats Oils Shortenings,-1
French dressing,1 T.,15,60.0,0,6,2.0,0.0,2.0,Fats Oils Shortenings,-1
Thousand Island sauce,1 T.,15,75.0,0,8,3.0,0.0,1.0,Fats Oils Shortenings,-1
Bacon,2 slices,16,95.0,4,8,7.0,0.0,1.0,Meat Poultry,-1
Beef,3 oz.,85,245.0,23,16,15.0,0.0,0.0,Meat Poultry,-1
Hamburger,3 oz.,85,245.0,21,17,15.0,0.0,0.0,Meat Poultry,-1
Ground lean,3 oz.,85,185.0,24,10,9.0,0.0,0.0,Meat Poultry,-1
Roast beef,3 oz.,85,390.0,16,36,35.0,0.0,0.0,Meat Poultry,-1
Steak,3 oz.,85,330.0,20,27,25.0,0.0,0.0,Meat Poultry,2
Steak lean as round,3 oz.,85,220.0,24,12,11.0,0.0,0.0,Meat Poultry,-1
Corned beef,3 oz.,85,185.0,22,10,9.0,0.0,0.0,Meat Poultry,-1
Corned beef hash canned,3 oz.,85,120.0,12,8,7.0,0.0,6.0,Meat Poultry,-1
Corned beef hash Dried,2 oz.,56,115.0,19,4,4.0,0.0,0.0,Meat Poultry,-1
Pot-pie,1 pie,227,480.0,18,28,25.0,0.0,32.0,Meat Poultry,-1
Corned beef hash Stew,1 cup,235,185.0,15,10,9.0,0.0,15.0,Meat Poultry,2
chicken,3 oz.,85,185.0,23,9,7.0,0.0,0.0,Meat Poultry,-1
Fried breast or leg and thigh chicken,3 oz.,85,245.0,25,15,11.0,0.0,0.0,Meat Poultry,-1
Roasted chicken,3 1/2 oz.,100,290.0,25,20,16.0,0.0,0.0,Meat Poultry,-1
Chicken livers fried,3 med.,100,140.0,22,14,12.0,0.0,2.3,Meat Poultry,-1
Duck domestic,3 1/2 oz.,100,370.0,16,28,0.0,0.0,0.0,Meat Poultry,2
Lamb chop broiled,4 oz.,115,480.0,24,35,33.0,0.0,0.0,Meat Poultry,-1
Leg roasted,3 oz.,86,314.0,20,14,14.0,0.0,0.0,Meat Poultry,2
Shoulder braised,3 oz.,85,285.0,18,23,21.0,0.0,0.0,Meat Poultry,-1
Pork chop 1 thick,3 1/2 oz.,100,260.0,16,21,18.0,0.0,0.0,Meat Poultry,-1
Ham pan-broiled,3 oz.,85,290.0,16,22,19.0,0.0,0.0,Meat Poultry,3
Ham as ,2 oz.,57,170.0,13,13,11.0,0.0,0.0,Meat Poultry,3
Ham canned spiced,2 oz.,57,165.0,8,14,12.0,0.0,1.0,Meat Poultry,3
Pork roast,3 oz.,85,310.0,21,24,21.0,0.0,0.0,Meat Poultry,-1
Pork sausage,3 1/2 oz.,100,475.0,18,44,40.0,0.0,0.0,Meat Poultry,-1
Turkey,3 1/2 oz.,100,265.0,27,15,0.0,0.0,0.0,Meat Poultry,3
Veal,3 oz.,85,185.0,23,9,8.0,0.0,0.0,Meat Poultry,3
Roast,3 oz.,85,305.0,13,14,13.0,0.0,0.0,Meat Poultry,3
Clams,3 oz.,85,87.0,12,1,0.0,0.0,2.0,Fish Seafood,3
Cod,3 1/2 oz.,100,170.0,28,5,0.0,0.0,0.0,Fish Seafood,3
Crab meat,3 oz.,85,90.0,14,2,0.0,0.0,1.0,Fish Seafood,3
Fish sticks fried,5,112,200.0,19,10,5.0,0.0,8.0,Fish Seafood,3
Flounder,3 1/2 oz.,100,200.0,30,8,0.0,0.0,0.0,Fish Seafood,3
Haddock,3 oz.,85,135.0,16,5,4.0,0.0,6.0,Fish Seafood,3
Halibut,3 1/2 oz.,100,182.0,26,8,0.0,0.0,0.0,Fish Seafood,3
Herring,1 small,100,211.0,22,13,0.0,0.0,0.0,Fish Seafood,3
Lobster,aver.,100,92.0,18,1,0.0,0.0,0.0,Fish Seafood,3
Oysters,6-8 med.,230,231.0,232,233,234.0,235.0,236.0,Fish Seafood,3
Oyster stew,1 cup,85,125.0,19,6,1.0,0.0,0.0,Fish Seafood,3
Salmon,3 oz.,85,120.0,17,5,1.0,0.0,0.0,Fish Seafood,3
Sardines,3 oz.,85,180.0,22,9,4.0,0.0,0.0,Fish Seafood,-1
Scallops,3 1/2 oz.,100,104.0,18,8,0.0,0.0,10.0,Fish Seafood,3
Shad,3 oz.,85,170.0,20,10,0.0,0.0,0.0,Fish Seafood,3
Shrimp,3 oz.,85,110.0,23,1,0.0,0.0,0.0,Fish Seafood,3
Swordfish,1 steak,100,180.0,27,6,0.0,0.0,0.0,Fish Seafood,3
Tuna,3 oz.,85,170.0,25,7,3.0,0.0,0.0,Fish Seafood,3
Artichoke,1 large,100,26.0,2,0,0.0,2.0,10.0,Vegetables A-E,-1
Asparagus,6 spears,96,18.0,1,0,0.0,0.5,3.0,Vegetables A-E,3
Beans,1 cup,125,25.0,1,0,0.0,0.8,6.0,Vegetables A-E,3
Lima,1 cup,160,140.0,8,0,0.0,3.0,24.0,Vegetables A-E,3
Lima dry cooked,1 cup,192,260.0,16,0,0.0,2.0,48.0,Vegetables A-E,3
Navy baked with pork,3/4 cup,200,250.0,11,6,6.0,2.0,37.0,Vegetables A-E,3
Red kidney,1 cup,260,230.0,15,1,0.0,2.5,42.0,Vegetables A-E,3
Bean sprouts,1 cup,50,17.0,1,0,0.0,0.3,3.0,Vegetables A-E,3
Beet greens,1 cup,100,27.0,2,0,0.0,1.4,6.0,Vegetables A-E,3
Broccoli,1 cup,150,45.0,5,0,0.0,1.9,8.0,Vegetables A-E,3
Brussels sprouts,1 cup,130,60.0,6,0,0.0,1.7,12.0,Vegetables A-E,3
Sauerkraut,1 cup,150,32.0,1,0,0.0,1.2,7.0,Vegetables A-E,-1
Steamed cabbage,1 cup,170,40.0,2,0,0.0,1.3,9.0,Vegetables A-E,3
Carrots,1 cup,150,45.0,1,0,0.0,0.9,10.0,Vegetables A-E,3
Raw grated,1 cup,110,45.0,1,0,0.0,1.2,10.0,Vegetables A-E,3
Strips from raw,1 mad.,50,20.0,0,0,0.0,0.5,5.0,Vegetables A-E,-1
Cauliflower,1 cup,120,30.0,3,0,0.0,1.0,6.0,Vegetables A-E,3
Celery,1 cup,100,20.0,1,0,0.0,1.0,4.0,Vegetables A-E,3
Stalk raw,1 large,40,5.0,1,0,0.0,0.3,1.0,Vegetables A-E,-1
Chard steamed,1 cup,150,30.0,2,0,0.0,1.4,7.0,Vegetables A-E,-1
Collards,1 cup,150,51.0,5,0,0.0,2.0,8.0,Vegetables A-E,-1
Corn,1 ear,100,92.0,3,1,0.0,0.8,21.0,Vegetables A-E,3
cooked or canned,1 cup,200,170.0,5,0,0.0,1.6,41.0,Vegetables A-E,3
Cucumbers,8,50,6.0,0,0,0.0,0.2,1.0,Vegetables A-E,3
Dandelion greens,1 cup,180,80.0,5,1,0.0,3.2,16.0,Vegetables A-E,3
Eggplant,1 cup,180,30.0,2,0,0.0,1.0,9.0,Vegetables A-E,3
Endive,2 oz.,57,10.0,1,0,0.0,0.6,2.0,Vegetables A-E,3
Kale,1 cup,110,45.0,4,1,0.0,0.9,8.0,Vegetables F-P,3
Kohlrabi,1 cup,140,40.0,2,0,0.0,1.5,9.0,Vegetables F-P,3
Lambs quarters steamed,1 cup,150,48.0,5,0,0.0,3.2,7.0,Vegetables F-P,3
Lentils,1 cup,200,212.0,15,0,0.0,2.4,38.0,Vegetables F-P,3
Lettuce,1/4 head,100,14.0,1,0,0.0,0.5,2.0,Vegetables F-P,3
Iceberg,1/4 head,100,13.0,0,0,0.0,0.5,3.0,Vegetables F-P,3
Mushrooms canned,4,120,12.0,2,0,0.0,0.0,4.0,Vegetables F-P,3
Mustard greens,1,140,30.0,3,0,0.0,1.2,6.0,Vegetables F-P,3
Okra,1 1/3 cups,100,32.0,1,0,0.0,1.0,7.0,Vegetables F-P,3
Onions,1,210,80.0,2,0,0.0,1.6,18.0,Vegetables F-P,3
Raw green,6 small,50,22.0,0,0,0.0,1.0,5.0,Vegetables F-P,3
Parsley,2 T.,50,2.0,0,0,0.0,0.0,0.0,Vegetables F-P,3
Parsnips,1 cup,155,95.0,2,1,0.0,3.0,22.0,Vegetables F-P,3
Peas,1 cup,100,66.0,3,0,0.0,0.1,13.0,Vegetables F-P,3
Fresh steamed peas,1 cup,100,70.0,5,0,0.0,2.2,12.0,Vegetables R-Z,3
Split cooked peas,4 cups,100,115.0,8,0,0.0,0.4,21.0,Vegetables R-Z,3
heated peas,1 cup,100,53.0,3,0,0.0,1.0,10.0,Vegetables R-Z,-1
Peppers canned,1 pod,38,10.0,0,0,0.0,0.0,2.0,Vegetables R-Z,3
Peppers Raw green sweet,1 large,100,25.0,1,0,0.0,1.4,6.0,Vegetables R-Z,-1
Peppers with beef and crumbs,1 med.,150,255.0,19,9,8.0,1.0,24.0,Vegetables R-Z,3
Potatoes baked,1 med.,100,100.0,2,0,0.0,0.5,22.0,Vegetables R-Z,3
French-fried,10 pieces,60,155.0,3,7,3.0,0.4,20.0,Vegetables R-Z,3
Potatoes Mashed with milk and butter,1 cup,200,230.0,4,12,11.0,0.7,28.0,Vegetables R-Z,3
Potatoes pan-tried,3/4 cup,100,268.0,4,14,6.0,0.4,33.0,Vegetables R-Z,3
Scalloped with cheese potatoes,3/4 cup,100,145.0,6,8,7.0,0.4,14.0,Vegetables R-Z,3
Steamed potatoes before peeling,1 med.,100,80.0,2,0,0.0,0.4,19.0,Vegetables R-Z,3
Potato chips,10,20,110.0,1,7,4.0,0.0,10.0,Vegetables R-Z,3
Radishes,5 small,50,10.0,0,0,0.0,0.3,2.0,Vegetables R-Z,3
Rutabagas,4 cups,100,32.0,0,0,0.0,1.4,8.0,Vegetables R-Z,3
Soybeans,1 cup,200,260.0,22,11,0.0,3.2,20.0,Vegetables R-Z,3
Spinach,1 cup,100,26.0,3,0,0.0,1.0,3.0,Vegetables R-Z,3
Squash,1 cup,210,35.0,1,0,0.0,0.6,8.0,Vegetables R-Z,3
Winter mashed,1 cup,200,95.0,4,0,0.0,2.6,23.0,Vegetables R-Z,3
Sweet potatoes,1 med.,110,155.0,2,1,0.0,1.0,36.0,Vegetables R-Z,0
Candied,1 med.,175,235.0,2,6,5.0,1.5,80.0,Vegetables R-Z,0
Tomatoes,1 cup,240,50.0,2,0,0.0,1.0,9.0,Vegetables R-Z,3
Raw 2 by 2 1/2,1 med.,150,30.0,1,0,0.0,0.6,6.0,Vegetables R-Z,3
Tomato juice,1 cup,240,50.0,2,0,0.0,0.6,10.0,Vegetables R-Z,3
Tomato catsup,1 T.,17,15.0,0,0,0.0,0.0,4.0,Vegetables R-Z,3
Turnip greens,1 cup,145,45.0,4,1,0.0,1.8,8.0,Vegetables R-Z,3
Turnips steamed,1 cup,155,40.0,1,0,0.0,1.8,9.0,Vegetables R-Z,3
Watercress stems raw,1 cup,50,9.0,1,0,0.0,0.3,1.0,Fruits A-F,3
Apple juice canned,1 cup,250,125.0,0,0,0.0,0.0,34.0,Fruits A-F,3
Apple vinegar,1/3 cup,100,14.0,0,0,0.0,0.0,3.0,Fruits A-F,3
Apples raw,1 med,130,70.0,0,0,0.0,1.0,18.0,Fruits A-F,3
Stewed or canned,1 cup,240,100.0,0,0,0.0,2.0,26.0,Fruits A-F,3
Apricots,1 cup,250,220.0,2,0,0.0,1.0,57.0,Fruits A-F,3
Dried uncooked,1/2 cup,75,220.0,4,0,0.0,1.0,50.0,Fruits A-F,3
Fresh,3 med.,114,55.0,1,0,0.0,0.7,14.0,Fruits A-F,3
Nectar or juice,1 cup,250,140.0,1,0,0.0,2.0,36.0,Fruits A-F,3
Avocado,1/2 large,108,185.0,2,18,12.0,1.8,6.0,Fruits A-F,3
Banana,1 med.,150,85.0,1,0,0.0,0.9,23.0,Fruits A-F,3
Blackberries,1 cup,144,85.0,2,1,0.0,6.6,19.0,Fruits A-F,3
Blueberries,1 cup,250,245.0,1,0,0.0,2.0,65.0,Fruits A-F,3
Cantaloupe,1/2 med.,380,40.0,1,0,0.0,2.2,9.0,Fruits A-F,3
Cherries,1 cup,257,100.0,2,1,0.0,2.0,26.0,Fruits A-F,3
Fresh raw,1 cup,114,65.0,1,0,0.0,0.8,15.0,Fruits A-F,3
Cranberry sauce sweetened,1 cup,277,530.0,0,0,0.0,1.2,142.0,Fruits A-F,3
Dates,1 cup,178,505.0,4,0,0.0,3.6,134.0,Fruits A-F,3
Figs,2,42,120.0,2,0,0.0,1.9,30.0,Fruits A-F,3
Fresh raw figs,3 med.,114,90.0,2,0,0.0,1.0,22.0,Fruits A-F,3
figs Canned with syrup ,3,115,130.0,1,0,0.0,1.0,32.0,Fruits A-F,-1
Fruit cocktail canned,1 cup,256,195.0,1,0,0.0,0.5,50.0,Fruits A-F,3
Grapefruit sections,1 cup,250,170.0,1,0,0.0,0.5,44.0,Fruits G-P,3
"Grapefruit fresh 5"" diameter",1/2,285,50.0,1,0,0.0,1.0,14.0,Fruits G-P,-1
Grapefruit juice,1 cup,250,100.0,1,0,0.0,1.0,24.0,Fruits G-P,-1
Grapes,1 cup,153,70.0,1,0,0.0,0.8,16.0,Fruits G-P,3
European as Muscat Tokay,1 cup,160,100.0,1,0,0.0,0.7,26.0,Fruits G-P,-1
Grape juice,1 cup,250,160.0,1,0,0.0,0.0,42.0,Fruits G-P,4
Lemon juice,1/2 cup,125,30.0,0,0,0.0,0.0,10.0,Fruits G-P,4
Lemonade concentratefrozen,6-oz. can,220,430.0,0,0,0.0,0.0,112.0,Fruits G-P,-1
Limeade concentrate frozen,6-oz. can,218,405.0,0,0,0.0,0.0,108.0,Fruits G-P,3
Olives large,10,65,72.0,1,10,9.0,0.8,3.0,Fruits G-P,3
OlivesRipe,10,65,105.0,1,13,12.0,1.0,1.0,Fruits G-P,3
"Oranges 3"" diameter",1 med.,180,60.0,2,0,0.0,1.0,16.0,Fruits G-P,3
Orange juice,8 oz. or,250,112.0,2,0,0.0,0.2,25.0,Fruits G-P,-1
Frozen ,6-oz. can,210,330.0,2,0,0.0,0.4,78.0,Fruits G-P,-1
Papaya,1/2 med.,200,75.0,1,0,0.0,1.8,18.0,Fruits G-P,3
Peaches,1 cup,257,200.0,1,0,0.0,1.0,52.0,Fruits G-P,3
Fresh raw,1 med.,114,35.0,1,0,0.0,0.6,10.0,Fruits G-P,-1
Pears,1 cup,255,195.0,1,0,0.0,2.0,50.0,Fruits G-P,-1
Raw 3 by 2V,1 med.,182,100.0,1,1,0.0,2.0,25.0,Fruits G-P,-1
Persimmons,1 med.,125,75.0,1,0,0.0,2.0,20.0,Fruits G-P,3
