Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Cluster,PC1,PC2
Cows' milk,1 qt.,976,660.0,32,40,36.0,0.0,48.0,Dairy products,0,0.1747863091392929,-0.12943227329992474
Milk skim,1 qt.,984,360.0,36,0,0.0,0.0,52.0,Dairy products,0,0.8249741605944791,0.3245499975596452
Buttermilk,1 cup,246,127.0,9,5,4.0,0.0,13.0,Dairy products,0,0.30376855499261635,-0.08193620636738141
Evaporated undiluted,1 cup,252,345.0,16,20,18.0,0.0,24.0,Dairy products,0,0.34296319982396106,0.16456588003496653
Fortified milk,6 cups,1419,1373.0,89,42,23.0,1.4,119.0,Dairy products,0,0.19561374464874196,0.0663062765036706
Powdered milk,1 cup,103,515.0,27,28,24.0,0.0,39.0,Dairy products,0,0.33764502516105643,0.35781745756236893
skim instant,1 1/3 cups,85,290.0,30,0,0.0,0.0,42.0,Dairy products,0,0.5601285052513688,0.26493806250109064
skim non-instant,2/3 cup,85,290.0,30,0,0.0,1.0,42.0,Dairy products,0,0.5045816602387309,0.30761626863769487
Goats' milk,1 cup,244,165.0,8,10,8.0,0.0,11.0,Dairy products,0,0.3569704929931685,0.2672195391750859
(1/2 cup ice cream),2 cups,540,690.0,24,24,22.0,0.0,70.0,Dairy products,0,0.34979289224041155,-0.11722823451420994
Cocoa,1 cup,252,235.0,8,11,10.0,0.0,26.0,Dairy products,0,0.07411944944512747,-0.33438830795760405
skim. milk,1 cup,250,128.0,18,4,3.0,1.0,13.0,Dairy products,0,0.7234330494301338,-0.06449908207275917
(cornstarch),1 cup,248,275.0,9,10,9.0,0.0,40.0,Dairy products,0,0.1708847533988728,-0.25742734319600047
Custard,1 cup,248,285.0,13,14,11.0,0.0,28.0,Dairy products,0,0.2395347258552499,-0.27466968741584924
Ice cream,1 cup,188,300.0,6,18,16.0,0.0,29.0,Dairy products,0,0.2167787054094608,-0.276183862583618
Ice milk,1 cup,190,275.0,9,10,9.0,0.0,32.0,Dairy products,0,0.21576181922945883,-0.28141392754599026
