Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Cluster,PC1,PC2
Buttermilk,1 cup,246,127.0,9,5,4.0,0.0,13.0,Dairy products,0,0.377817559590896,-0.3348582223907543
Evaporated undiluted,1 cup,252,345.0,16,20,18.0,0.0,24.0,Dairy products,2,2.6722058310009054,0.7084832653618118
Goats' milk,1 cup,244,165.0,8,10,8.0,0.0,11.0,Dairy products,0,0.6570741874893715,-0.008036975264388957
Cocoa,1 cup,252,235.0,8,11,10.0,0.0,26.0,Dairy products,0,0.9814091148347828,0.5986748552552041
skim. milk,1 cup,250,128.0,18,4,3.0,1.0,13.0,Dairy products,2,1.2701592517376223,-1.007186536963881
(cornstarch),1 cup,248,275.0,9,10,9.0,0.0,40.0,Dairy products,0,1.1968479840070385,0.9259081846767288
Custard,1 cup,248,285.0,13,14,11.0,0.0,28.0,Dairy products,0,1.8408535963818475,0.5731295530994929
Ice cream,1 cup,188,300.0,6,18,16.0,0.0,29.0,Dairy products,0,1.3555042492594511,1.2481164338569872
Ice milk,1 cup,190,275.0,9,10,9.0,0.0,32.0,Dairy products,0,1.2004756545595914,0.8079835798631483
Cream or half-and-half,1/2 cup,120,170.0,4,15,13.0,0.0,5.0,Dairy products,0,0.491500264550084,0.30664329789413824
Cheddar,1-in. cube,17,70.0,4,6,5.0,0.0,0.0,Dairy products,0,-0.32340716921630175,-0.44253829002701334
Cheddar grated cup,1/2 cup,56,226.0,14,19,17.0,0.0,1.0,Dairy products,2,1.9435422027958413,-0.1273231992770253
Cream cheese,1 oz.,28,105.0,2,11,10.0,0.0,1.0,Dairy products,0,-0.16174246949121585,-0.013700281204063025
Processed cheese,1 oz.,28,105.0,7,9,8.0,0.0,0.0,Dairy products,0,0.26774997742447687,-0.4294360896914569
Roquefort type,1 oz.,28,105.0,6,9,8.0,0.0,0.0,Dairy products,0,0.1637621420789812,-0.35582058277052414
Swiss,1 oz.,28,105.0,7,8,7.0,0.0,0.0,Dairy products,0,0.2222998831090497,-0.445894938831973
Eggs raw,2,100,150.0,12,12,10.0,0.0,0.0,Dairy products,0,1.107695182658535,-0.5108299964329643
Eggs Scrambled or fried,2,128,220.0,13,16,14.0,0.0,1.0,Dairy products,2,1.678716651762691,-0.13472518383652188
Yolks,2,34,120.0,6,10,8.0,0.0,0.0,Fats Oils Shortenings,0,0.27043081824784143,-0.2602593734828052
Butter,1T.,14,100.0,0,11,10.0,0.0,0.0,Fats Oils Shortenings,0,-0.38967087531428224,0.09242270365370395
Margarine 2 pat or,1 T.,14,100.0,0,11,9.0,0.0,0.0,Fats Oils Shortenings,0,-0.38967087531428224,0.09242270365370395
Mayonnaise,1 T.,15,110.0,0,12,5.0,0.0,0.0,Fats Oils Shortenings,0,-0.3034083930965662,0.16161645955902199
Corn oil,1 T.,14,125.0,0,14,5.0,0.0,0.0,Fats Oils Shortenings,0,-0.15128962261227896,0.27363651798725697
Olive oil,1T.,14,125.0,0,14,3.0,0.0,0.0,Fats Oils Shortenings,0,-0.15128962261227896,0.27363651798725697
Safflower seed oil,1 T.,14,125.0,0,14,3.0,0.0,0.0,Fats Oils Shortenings,0,-0.15128962261227896,0.27363651798725697
