Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Cluster
Cows' milk,1 qt.,976,660.0,32,40,36.0,0.0,48.0,Dairy products,1
Milk skim,1 qt.,984,360.0,36,0,0.0,0.0,52.0,Dairy products,2
Buttermilk,1 cup,246,127.0,9,5,4.0,0.0,13.0,Dairy products,0
Evaporated undiluted,1 cup,252,345.0,16,20,18.0,0.0,24.0,Dairy products,1
Fortified milk,6 cups,1419,1373.0,89,42,23.0,1.4,119.0,Dairy products,1
Powdered milk,1 cup,103,515.0,27,28,24.0,0.0,39.0,Dairy products,1
skim instant,1 1/3 cups,85,290.0,30,0,0.0,0.0,42.0,Dairy products,2
skim non-instant,2/3 cup,85,290.0,30,0,0.0,1.0,42.0,Dairy products,2
Goats' milk,1 cup,244,165.0,8,10,8.0,0.0,11.0,Dairy products,2
(1/2 cup ice cream),2 cups,540,690.0,24,24,22.0,0.0,70.0,Dairy products,1
Cocoa,1 cup,252,235.0,8,11,10.0,0.0,26.0,Dairy products,2
skim. milk,1 cup,250,128.0,18,4,3.0,1.0,13.0,Dairy products,2
(cornstarch),1 cup,248,275.0,9,10,9.0,0.0,40.0,Dairy products,2
Custard,1 cup,248,285.0,13,14,11.0,0.0,28.0,Dairy products,2
Ice cream,1 cup,188,300.0,6,18,16.0,0.0,29.0,Dairy products,2
Ice milk,1 cup,190,275.0,9,10,9.0,0.0,32.0,Dairy products,2
Cream or half-and-half,1/2 cup,120,170.0,4,15,13.0,0.0,5.0,Dairy products,0
or whipping,1/2 cup,119,430.0,2,44,27.0,1.0,3.0,Dairy products,1
Cheese,1 cup,225,240.0,30,11,10.0,0.0,6.0,Dairy products,2
uncreamed,1 cup,225,195.0,38,0,0.0,0.0,6.0,Dairy products,2
Cheddar,1-in. cube,17,70.0,4,6,5.0,0.0,0.0,Dairy products,0
Cheddar grated cup,1/2 cup,56,226.0,14,19,17.0,0.0,1.0,Dairy products,2
Cream cheese,1 oz.,28,105.0,2,11,10.0,0.0,1.0,Dairy products,0
Processed cheese,1 oz.,28,105.0,7,9,8.0,0.0,0.0,Dairy products,0
Roquefort type,1 oz.,28,105.0,6,9,8.0,0.0,0.0,Dairy products,0
Swiss,1 oz.,28,105.0,7,8,7.0,0.0,0.0,Dairy products,0
Eggs raw,2,100,150.0,12,12,10.0,0.0,0.0,Dairy products,2
Eggs Scrambled or fried,2,128,220.0,13,16,14.0,0.0,1.0,Dairy products,2
Yolks,2,34,120.0,6,10,8.0,0.0,0.0,Fats Oils Shortenings,0
Butter,1T.,14,100.0,0,11,10.0,0.0,0.0,Fats Oils Shortenings,0
Butter,1/2 cup,112,113.0,114,115,116.0,117.0,118.0,Fats Oils Shortenings,1
Butter,1/4 lb.,112,113.0,114,115,116.0,117.0,118.0,Fats Oils Shortenings,1
Hydrogenated cooking fat,1/2 cup,100,665.0,0,100,88.0,0.0,0.0,Fats Oils Shortenings,1
Lard,1/2 cup,110,992.0,0,110,92.0,0.0,0.0,Fats Oils Shortenings,1
Margarine,1/2 cup,112,806.0,0,91,76.0,0.0,0.0,Fats Oils Shortenings,1
